Mod:Item:MetaData, Localized Name
tconstruct:slime_grass_tall:8, Tall Slimy Grass
tconstruct:slime_grass_tall:1, Slimy Fern
tconstruct:slime_grass_tall:5, Slimy Fern
tconstruct:slime_grass_tall:9, Slimy Fern
tconstruct:slime_sapling:0, Blue Slime Sapling
tconstruct:slime_sapling:1, Purple Slime Sapling
tconstruct:slime_sapling:2, Magma Slime Sapling
tconstruct:slime_vine_blue_end:0, Blue Slimy Vine
tconstruct:slime_vine_blue_mid:0, Blue Slimy Vine
tconstruct:slime_vine_blue:0, Blue Slimy Vine
tconstruct:slime_vine_purple_end:0, Purple Slimy Vine
tconstruct:slime_vine_purple_mid:0, Purple Slimy Vine
tconstruct:slime_vine_purple:0, Purple Slimy Vine
tconstruct:pattern:0, Blank Pattern
tconstruct:pattern:0, Tough Tool Rod Pattern
tconstruct:pattern:0, Chisel Head Pattern
tconstruct:pattern:0, Sword Blade Pattern
tconstruct:pattern:0, Large Sword Blade Pattern
tconstruct:pattern:0, Binding Pattern
tconstruct:pattern:0, Axe Head Pattern
tconstruct:pattern:0, Arrow Shaft Pattern
tconstruct:pattern:0, Pipe Piece Pattern
tconstruct:pattern:0, Cross Guard Pattern
tconstruct:pattern:0, Pickaxe Head Pattern
tconstruct:pattern:0, Fletching Pattern
tconstruct:pattern:0, Battery Cell Pattern
tconstruct:pattern:0, Wide Guard Pattern
tconstruct:pattern:0, Bowstring Pattern
tconstruct:pattern:0, Large Plate Pattern
tconstruct:pattern:0, Sharpening Kit Pattern
tconstruct:pattern:0, Shard Pattern
tconstruct:pattern:0, Tough Binding Pattern
tconstruct:pattern:0, Kama Head Pattern
tconstruct:pattern:0, Hammer Head Pattern
tconstruct:pattern:0, Polishing Kit Pattern
tconstruct:pattern:0, Armor Plates Pattern
tconstruct:pattern:0, Sign Plate Pattern
tconstruct:pattern:0, Bowlimb Pattern
tconstruct:pattern:0, Tool Rod Pattern
tconstruct:pattern:0, Pan Pattern
tconstruct:pattern:0, Scythe Head Pattern
tconstruct:pattern:0, Hand Guard Pattern
tconstruct:pattern:0, Laser Medium Pattern
tconstruct:pattern:0, Excavator Head Pattern
tconstruct:pattern:0, Knife Blade Pattern
tconstruct:pattern:0, Armor Trim Pattern
tconstruct:pattern:0, Broad Axe Head Pattern
tconstruct:pattern:0, Helmet Core Pattern
tconstruct:pattern:0, Shovel Head Pattern
tconstruct:pattern:0, Arrow Head Pattern
tconstruct:pattern:0, Leggings Core Pattern
tconstruct:pattern:0, Chestplate Core Pattern
tconstruct:pattern:0, Boots Core Pattern
tconstruct:shard:0, Naga Scale Shard
tconstruct:shard:0, Steeleaf Shard
tconstruct:shard:0, Fiery Shard
tconstruct:shard:0, Knightly Shard
tconstruct:shard:0, Wooden Shard
tconstruct:shard:0, Stone Shard
tconstruct:shard:0, Flint Shard
tconstruct:shard:0, Cactus Shard
tconstruct:shard:0, Bone Shard
tconstruct:shard:0, Obsidian Shard
tconstruct:shard:0, Prismarine Shard
tconstruct:shard:0, End Shard
tconstruct:shard:0, Paper Shard
tconstruct:shard:0, Sponge Shard
tconstruct:shard:0, Firewood Shard
tconstruct:shard:0, Iron Shard
tconstruct:shard:0, Pig Iron Shard
tconstruct:shard:0, Knightslime Shard
tconstruct:shard:0, Slime Shard
tconstruct:shard:0, Slime Shard
tconstruct:shard:0, Magma Slime Shard
tconstruct:shard:0, Netherrack Shard
tconstruct:shard:0, Cobalt Shard
tconstruct:shard:0, Ardite Shard
tconstruct:shard:0, Manyullyn Shard
tconstruct:shard:0, Copper Shard
tconstruct:shard:0, Bronze Shard
tconstruct:shard:0, Lead Shard
tconstruct:shard:0, Silver Shard
tconstruct:shard:0, Electrum Shard
tconstruct:shard:0, Steel Shard
tconstruct:shard:0, Treated Wood Shard
tconstruct:shard:0, Constantan Shard
tconstruct:shard:0, Dragon Bone Shard
tconstruct:shard:0, Desert Myrmex Chitin Shard
tconstruct:shard:0, Jungle Myrmex Chitin Shard
tconstruct:shard:0, Fire Dragonsteel Shard
tconstruct:shard:0, Ice Dragonsteel Shard
tconstruct:shard:0, Weezer Shard
tconstruct:shard:0, Magical Wooden Shard
tconstruct:shard:0, Evil Infused Shard
tconstruct:shard:0, Enchanted Shard
tconstruct:shard:0, Demonic Shard
tconstruct:shard:0, Molten Meat Shard
tconstruct:shard:0, Vespa Carapace Shard
tconstruct:shard:0, Scythe Claw Shard
tconstruct:shard:0, Ectoplasm Shard
tconstruct:shard:0, Ancient Metal Shard
tconstruct:shard:0, Tar Shard
tconstruct:shard:0, Prosperity Shard Shard
tconstruct:shard:0, Soulium Shard
tconstruct:shard:0, Base Essence Shard
tconstruct:shard:0, Inferium Shard
tconstruct:shard:0, Prudentium Shard
tconstruct:shard:0, Intermedium Shard
tconstruct:shard:0, Superium Shard
tconstruct:shard:0, Supremium Shard
tconstruct:shard:0, Boron Shard
tconstruct:shard:0, Tough Alloy Shard
tconstruct:shard:0, Hard Carbon Shard
tconstruct:shard:0, Boron Nitride Shard
tconstruct:shard:0, Thorium Shard
tconstruct:shard:0, Uranium Shard
tconstruct:shard:0, Magnesium Shard
tconstruct:shard:0, Chocolate Shard
tconstruct:shard:0, Plastic Shard
tconstruct:shard:0, Pink Slime Shard
tconstruct:shard:0, Reinforced Pink Slime Shard
tconstruct:shard:0, Enderium Shard
tconstruct:shard:0, Platinum Shard
tconstruct:shard:0, Iridium Shard
tconstruct:shard:0, Mithril Shard
tconstruct:shard:0, Signalum Shard
tconstruct:shard:0, Lumium Shard
tconstruct:shard:0, Invar Shard
tconstruct:shard:0, Nickel Shard
tconstruct:shard:0, Tin Shard
tconstruct:shard:0, Brass Shard
tconstruct:shard:0, Aluminum Shard
tconstruct:shard:0, Zinc Shard
tconstruct:shard:0, Refined Obsidian Shard
tconstruct:shard:0, Refined Glowstone Shard
tconstruct:shard:0, Osmium Shard
tconstruct:shard:0, Manasteel Shard
tconstruct:shard:0, Terrasteel Shard
tconstruct:shard:0, Elementium Shard
tconstruct:shard:0, Gaia Spirit Shard
tconstruct:shard:0, Yellorium Shard
tconstruct:shard:0, Cyanite Shard
tconstruct:shard:0, Blutonium Shard
tconstruct:shard:0, Ludicrite Shard
tconstruct:shard:0, Quartz Enriched Iron Shard
tconstruct:shard:0, Draconium Shard
tconstruct:shard:0, Wyvern Draconium Shard
tconstruct:shard:0, Awakened Draconium Shard
tconstruct:shard:0, Chaotic Draconium Shard
tconstruct:shard:0, Psimetal Shard
tconstruct:shard:0, Psigem Shard
tconstruct:shard:0, Ivory Psimetal Shard
tconstruct:shard:0, Ebony Psimetal Shard
tconstruct:shard:0, Dark Matter Shard
tconstruct:shard:0, Red Matter Shard
tconstruct:shard:0, Fluxed Electrum Shard
tconstruct:shard:0, Refined Iron Shard
tconstruct:shard:0, Tungsten Shard
tconstruct:shard:0, Titanium Shard
tconstruct:shard:0, Chrome Shard
tconstruct:shard:0, Advanced Alloy Shard
tconstruct:shard:0, Ruby Shard
tconstruct:shard:0, Sapphire Shard
tconstruct:shard:0, Peridot Shard
tconstruct:shard:0, Yellow Garnet Shard
tconstruct:shard:0, Red Garnet Shard
tconstruct:shard:0, Rubber Shard
tconstruct:shard:0, Certus Quartz Shard
tconstruct:shard:0, Fluix Crystal Shard
tconstruct:shard:0, Alumite Shard
tconstruct:shard:0, Malachite Shard
tconstruct:shard:0, Amber Shard
tconstruct:shard:0, Topaz Shard
tconstruct:shard:0, Tanzanite Shard
tconstruct:shard:0, Amethyst Shard
tconstruct:shard:0, Osgloglas Shard
tconstruct:shard:0, Osmiridium Shard
tconstruct:shard:0, Lumium Shard
tconstruct:shard:0, Signalum Shard
tconstruct:shard:0, Platinum Shard
tconstruct:shard:0, Enderium Shard
tconstruct:shard:0, Black Quartz Shard
tconstruct:shard:0, Void Shard
tconstruct:shard:0, Enori Shard
tconstruct:shard:0, Palis Shard
tconstruct:shard:0, Restonia Shard
tconstruct:shard:0, Emeradic Shard
tconstruct:shard:0, Diamatine Shard
tconstruct:shard:0, Certus Quartz Shard
tconstruct:shard:0, Fluix Crystal Shard
tconstruct:shard:0, Starmetal Shard
tconstruct:shard:0, Tiberium Shard
tconstruct:shard:0, Aurorium Shard
tconstruct:shard:0, Prometheum Shard
tconstruct:shard:0, Duranite Shard
tconstruct:shard:0, Valyrium Shard
tconstruct:shard:0, Vibranium Shard
tconstruct:shard:0, Terrax Shard
tconstruct:shard:0, Palladium Shard
tconstruct:shard:0, Uru Shard
tconstruct:shard:0, Eezo Shard
tconstruct:shard:0, Basalt Shard
tconstruct:shard:0, Triberium Shard
tconstruct:shard:0, Fractum Shard
tconstruct:shard:0, Violium Shard
tconstruct:shard:0, Proxii Shard
tconstruct:shard:0, Tritonite Shard
tconstruct:shard:0, Ignitz Shard
tconstruct:shard:0, Imperomite Shard
tconstruct:shard:0, Solarium Shard
tconstruct:shard:0, Nihilite Shard
tconstruct:shard:0, Adamant Shard
tconstruct:shard:0, Dyonite Shard
tconstruct:shard:0, Nucleum Shard
tconstruct:shard:0, Lumix Shard
tconstruct:shard:0, Seismum Shard
tconstruct:shard:0, Astrium Shard
tconstruct:shard:0, Niob Shard
tconstruct:shard:0, Yrdeen Shard
tconstruct:shard:0, Meteorite Shard
tconstruct:shard:0, Obsidiorite Shard
tconstruct:shard:0, Blood Bronze Shard
tconstruct:shard:0, Mirion Shard
tconstruct:shard:0, Livingwood Shard
tconstruct:shard:0, Elementium Shard
tconstruct:shard:0, Emerald Shard
tconstruct:shard:0, Wyvern Shard
tconstruct:shard:0, Awakened Shard
tconstruct:shard:0, Chaotic Shard
tconstruct:sharpening_kit:0, Naga Scale Sharpening Kit
tconstruct:sharpening_kit:0, Steeleaf Sharpening Kit
tconstruct:sharpening_kit:0, Fiery Sharpening Kit
tconstruct:sharpening_kit:0, Knightly Sharpening Kit
tconstruct:sharpening_kit:0, Wooden Sharpening Kit
tconstruct:sharpening_kit:0, Stone Sharpening Kit
tconstruct:sharpening_kit:0, Flint Sharpening Kit
tconstruct:sharpening_kit:0, Cactus Sharpening Kit
tconstruct:sharpening_kit:0, Bone Sharpening Kit
tconstruct:sharpening_kit:0, Obsidian Sharpening Kit
tconstruct:sharpening_kit:0, Prismarine Sharpening Kit
tconstruct:sharpening_kit:0, End Sharpening Kit
tconstruct:sharpening_kit:0, Paper Sharpening Kit
tconstruct:sharpening_kit:0, Sponge Sharpening Kit
tconstruct:sharpening_kit:0, Firewood Sharpening Kit
tconstruct:sharpening_kit:0, Iron Sharpening Kit
tconstruct:sharpening_kit:0, Pig Iron Sharpening Kit
tconstruct:sharpening_kit:0, Knightslime Sharpening Kit
tconstruct:sharpening_kit:0, Slime Sharpening Kit
tconstruct:sharpening_kit:0, Slime Sharpening Kit
tconstruct:sharpening_kit:0, Magma Slime Sharpening Kit
tconstruct:sharpening_kit:0, Netherrack Sharpening Kit
tconstruct:sharpening_kit:0, Cobalt Sharpening Kit
tconstruct:sharpening_kit:0, Ardite Sharpening Kit
tconstruct:sharpening_kit:0, Manyullyn Sharpening Kit
tconstruct:sharpening_kit:0, Copper Sharpening Kit
tconstruct:sharpening_kit:0, Bronze Sharpening Kit
tconstruct:sharpening_kit:0, Lead Sharpening Kit
tconstruct:sharpening_kit:0, Silver Sharpening Kit
tconstruct:sharpening_kit:0, Electrum Sharpening Kit
tconstruct:sharpening_kit:0, Steel Sharpening Kit
tconstruct:sharpening_kit:0, Treated Wood Sharpening Kit
tconstruct:sharpening_kit:0, Constantan Sharpening Kit
tconstruct:sharpening_kit:0, Dragon Bone Sharpening Kit
tconstruct:sharpening_kit:0, Desert Myrmex Chitin Sharpening Kit
tconstruct:sharpening_kit:0, Jungle Myrmex Chitin Sharpening Kit
tconstruct:sharpening_kit:0, Fire Dragonsteel Sharpening Kit
tconstruct:sharpening_kit:0, Ice Dragonsteel Sharpening Kit
tconstruct:sharpening_kit:0, Weezer Sharpening Kit
tconstruct:sharpening_kit:0, Magical Wooden Sharpening Kit
tconstruct:sharpening_kit:0, Evil Infused Sharpening Kit
tconstruct:sharpening_kit:0, Enchanted Sharpening Kit
tconstruct:sharpening_kit:0, Demonic Sharpening Kit
tconstruct:sharpening_kit:0, Molten Meat Sharpening Kit
tconstruct:sharpening_kit:0, Vespa Carapace Sharpening Kit
tconstruct:sharpening_kit:0, Scythe Claw Sharpening Kit
tconstruct:sharpening_kit:0, Ectoplasm Sharpening Kit
tconstruct:sharpening_kit:0, Ancient Metal Sharpening Kit
tconstruct:sharpening_kit:0, Tar Sharpening Kit
tconstruct:sharpening_kit:0, Prosperity Shard Sharpening Kit
tconstruct:sharpening_kit:0, Soulium Sharpening Kit
tconstruct:sharpening_kit:0, Base Essence Sharpening Kit
tconstruct:sharpening_kit:0, Inferium Sharpening Kit
tconstruct:sharpening_kit:0, Prudentium Sharpening Kit
tconstruct:sharpening_kit:0, Intermedium Sharpening Kit
tconstruct:sharpening_kit:0, Superium Sharpening Kit
tconstruct:sharpening_kit:0, Supremium Sharpening Kit
tconstruct:sharpening_kit:0, Boron Sharpening Kit
tconstruct:sharpening_kit:0, Tough Alloy Sharpening Kit
tconstruct:sharpening_kit:0, Hard Carbon Sharpening Kit
tconstruct:sharpening_kit:0, Boron Nitride Sharpening Kit
tconstruct:sharpening_kit:0, Thorium Sharpening Kit
tconstruct:sharpening_kit:0, Uranium Sharpening Kit
tconstruct:sharpening_kit:0, Magnesium Sharpening Kit
tconstruct:sharpening_kit:0, Chocolate Sharpening Kit
tconstruct:sharpening_kit:0, Plastic Sharpening Kit
tconstruct:sharpening_kit:0, Pink Slime Sharpening Kit
tconstruct:sharpening_kit:0, Reinforced Pink Slime Sharpening Kit
tconstruct:sharpening_kit:0, Enderium Sharpening Kit
tconstruct:sharpening_kit:0, Platinum Sharpening Kit
tconstruct:sharpening_kit:0, Iridium Sharpening Kit
tconstruct:sharpening_kit:0, Mithril Sharpening Kit
tconstruct:sharpening_kit:0, Signalum Sharpening Kit
tconstruct:sharpening_kit:0, Lumium Sharpening Kit
tconstruct:sharpening_kit:0, Invar Sharpening Kit
tconstruct:sharpening_kit:0, Nickel Sharpening Kit
tconstruct:sharpening_kit:0, Tin Sharpening Kit
tconstruct:sharpening_kit:0, Brass Sharpening Kit
tconstruct:sharpening_kit:0, Aluminum Sharpening Kit
tconstruct:sharpening_kit:0, Zinc Sharpening Kit
tconstruct:sharpening_kit:0, Refined Obsidian Sharpening Kit
tconstruct:sharpening_kit:0, Refined Glowstone Sharpening Kit
tconstruct:sharpening_kit:0, Osmium Sharpening Kit
tconstruct:sharpening_kit:0, Manasteel Sharpening Kit
tconstruct:sharpening_kit:0, Terrasteel Sharpening Kit
tconstruct:sharpening_kit:0, Elementium Sharpening Kit
tconstruct:sharpening_kit:0, Gaia Spirit Sharpening Kit
tconstruct:sharpening_kit:0, Yellorium Sharpening Kit
tconstruct:sharpening_kit:0, Cyanite Sharpening Kit
tconstruct:sharpening_kit:0, Blutonium Sharpening Kit
tconstruct:sharpening_kit:0, Ludicrite Sharpening Kit
tconstruct:sharpening_kit:0, Quartz Enriched Iron Sharpening Kit
tconstruct:sharpening_kit:0, Draconium Sharpening Kit
tconstruct:sharpening_kit:0, Wyvern Draconium Sharpening Kit
tconstruct:sharpening_kit:0, Awakened Draconium Sharpening Kit
tconstruct:sharpening_kit:0, Chaotic Draconium Sharpening Kit
tconstruct:sharpening_kit:0, Psimetal Sharpening Kit
tconstruct:sharpening_kit:0, Psigem Sharpening Kit
tconstruct:sharpening_kit:0, Ivory Psimetal Sharpening Kit
tconstruct:sharpening_kit:0, Ebony Psimetal Sharpening Kit
tconstruct:sharpening_kit:0, Dark Matter Sharpening Kit
tconstruct:sharpening_kit:0, Red Matter Sharpening Kit
tconstruct:sharpening_kit:0, Fluxed Electrum Sharpening Kit
tconstruct:sharpening_kit:0, Refined Iron Sharpening Kit
tconstruct:sharpening_kit:0, Tungsten Sharpening Kit
tconstruct:sharpening_kit:0, Titanium Sharpening Kit
tconstruct:sharpening_kit:0, Chrome Sharpening Kit
tconstruct:sharpening_kit:0, Advanced Alloy Sharpening Kit
tconstruct:sharpening_kit:0, Ruby Sharpening Kit
tconstruct:sharpening_kit:0, Sapphire Sharpening Kit
tconstruct:sharpening_kit:0, Peridot Sharpening Kit
tconstruct:sharpening_kit:0, Yellow Garnet Sharpening Kit
tconstruct:sharpening_kit:0, Red Garnet Sharpening Kit
tconstruct:sharpening_kit:0, Rubber Sharpening Kit
tconstruct:sharpening_kit:0, Certus Quartz Sharpening Kit
tconstruct:sharpening_kit:0, Fluix Crystal Sharpening Kit
tconstruct:sharpening_kit:0, Alumite Sharpening Kit
tconstruct:sharpening_kit:0, Malachite Sharpening Kit
tconstruct:sharpening_kit:0, Amber Sharpening Kit
tconstruct:sharpening_kit:0, Topaz Sharpening Kit
tconstruct:sharpening_kit:0, Tanzanite Sharpening Kit
tconstruct:sharpening_kit:0, Amethyst Sharpening Kit
tconstruct:sharpening_kit:0, Osgloglas Sharpening Kit
tconstruct:sharpening_kit:0, Osmiridium Sharpening Kit
tconstruct:sharpening_kit:0, Lumium Sharpening Kit
tconstruct:sharpening_kit:0, Signalum Sharpening Kit
tconstruct:sharpening_kit:0, Platinum Sharpening Kit
tconstruct:sharpening_kit:0, Enderium Sharpening Kit
tconstruct:sharpening_kit:0, Black Quartz Sharpening Kit
tconstruct:sharpening_kit:0, Void Sharpening Kit
tconstruct:sharpening_kit:0, Enori Sharpening Kit
tconstruct:sharpening_kit:0, Palis Sharpening Kit
tconstruct:sharpening_kit:0, Restonia Sharpening Kit
tconstruct:sharpening_kit:0, Emeradic Sharpening Kit
tconstruct:sharpening_kit:0, Diamatine Sharpening Kit
tconstruct:sharpening_kit:0, Certus Quartz Sharpening Kit
tconstruct:sharpening_kit:0, Fluix Crystal Sharpening Kit
tconstruct:sharpening_kit:0, Starmetal Sharpening Kit
tconstruct:sharpening_kit:0, Tiberium Sharpening Kit
tconstruct:sharpening_kit:0, Aurorium Sharpening Kit
tconstruct:sharpening_kit:0, Prometheum Sharpening Kit
tconstruct:sharpening_kit:0, Duranite Sharpening Kit
tconstruct:sharpening_kit:0, Valyrium Sharpening Kit
tconstruct:sharpening_kit:0, Vibranium Sharpening Kit
tconstruct:sharpening_kit:0, Terrax Sharpening Kit
tconstruct:sharpening_kit:0, Palladium Sharpening Kit
tconstruct:sharpening_kit:0, Uru Sharpening Kit
tconstruct:sharpening_kit:0, Eezo Sharpening Kit
tconstruct:sharpening_kit:0, Basalt Sharpening Kit
tconstruct:sharpening_kit:0, Triberium Sharpening Kit
tconstruct:sharpening_kit:0, Fractum Sharpening Kit
tconstruct:sharpening_kit:0, Violium Sharpening Kit
tconstruct:sharpening_kit:0, Proxii Sharpening Kit
tconstruct:sharpening_kit:0, Tritonite Sharpening Kit
tconstruct:sharpening_kit:0, Ignitz Sharpening Kit
tconstruct:sharpening_kit:0, Imperomite Sharpening Kit
tconstruct:sharpening_kit:0, Solarium Sharpening Kit
tconstruct:sharpening_kit:0, Nihilite Sharpening Kit
tconstruct:sharpening_kit:0, Adamant Sharpening Kit
tconstruct:sharpening_kit:0, Dyonite Sharpening Kit
tconstruct:sharpening_kit:0, Nucleum Sharpening Kit
tconstruct:sharpening_kit:0, Lumix Sharpening Kit
tconstruct:sharpening_kit:0, Seismum Sharpening Kit
tconstruct:sharpening_kit:0, Astrium Sharpening Kit
tconstruct:sharpening_kit:0, Niob Sharpening Kit
tconstruct:sharpening_kit:0, Yrdeen Sharpening Kit
tconstruct:sharpening_kit:0, Meteorite Sharpening Kit
tconstruct:sharpening_kit:0, Obsidiorite Sharpening Kit
tconstruct:sharpening_kit:0, Blood Bronze Sharpening Kit
tconstruct:sharpening_kit:0, Mirion Sharpening Kit
tconstruct:sharpening_kit:0, Livingwood Sharpening Kit
tconstruct:sharpening_kit:0, Elementium Sharpening Kit
tconstruct:sharpening_kit:0, Emerald Sharpening Kit
tconstruct:sharpening_kit:0, Wyvern Sharpening Kit
tconstruct:sharpening_kit:0, Awakened Sharpening Kit
tconstruct:sharpening_kit:0, Chaotic Sharpening Kit
tconstruct:pick_head:0, Naga Scale Pickaxe Head
tconstruct:pick_head:0, Steeleaf Pickaxe Head
tconstruct:pick_head:0, Fiery Pickaxe Head
tconstruct:pick_head:0, Knightly Pickaxe Head
tconstruct:pick_head:0, Wooden Pickaxe Head
tconstruct:pick_head:0, Stone Pickaxe Head
tconstruct:pick_head:0, Flint Pickaxe Head
tconstruct:pick_head:0, Cactus Pickaxe Head
tconstruct:pick_head:0, Bone Pickaxe Head
tconstruct:pick_head:0, Obsidian Pickaxe Head
tconstruct:pick_head:0, Prismarine Pickaxe Head
tconstruct:pick_head:0, End Pickaxe Head
tconstruct:pick_head:0, Paper Pickaxe Head
tconstruct:pick_head:0, Sponge Pickaxe Head
tconstruct:pick_head:0, Firewood Pickaxe Head
tconstruct:pick_head:0, Iron Pickaxe Head
tconstruct:pick_head:0, Pig Iron Pickaxe Head
tconstruct:pick_head:0, Knightslime Pickaxe Head
tconstruct:pick_head:0, Slime Pickaxe Head
tconstruct:pick_head:0, Slime Pickaxe Head
tconstruct:pick_head:0, Magma Slime Pickaxe Head
tconstruct:pick_head:0, Netherrack Pickaxe Head
tconstruct:pick_head:0, Cobalt Pickaxe Head
tconstruct:pick_head:0, Ardite Pickaxe Head
tconstruct:pick_head:0, Manyullyn Pickaxe Head
tconstruct:pick_head:0, Copper Pickaxe Head
tconstruct:pick_head:0, Bronze Pickaxe Head
tconstruct:pick_head:0, Lead Pickaxe Head
tconstruct:pick_head:0, Silver Pickaxe Head
tconstruct:pick_head:0, Electrum Pickaxe Head
tconstruct:pick_head:0, Steel Pickaxe Head
tconstruct:pick_head:0, Treated Wood Pickaxe Head
tconstruct:pick_head:0, Constantan Pickaxe Head
tconstruct:pick_head:0, Dragon Bone Pickaxe Head
tconstruct:pick_head:0, Desert Myrmex Chitin Pickaxe Head
tconstruct:pick_head:0, Jungle Myrmex Chitin Pickaxe Head
tconstruct:pick_head:0, Fire Dragonsteel Pickaxe Head
tconstruct:pick_head:0, Ice Dragonsteel Pickaxe Head
tconstruct:pick_head:0, Weezer Pickaxe Head
tconstruct:pick_head:0, Magical Wooden Pickaxe Head
tconstruct:pick_head:0, Evil Infused Pickaxe Head
tconstruct:pick_head:0, Enchanted Pickaxe Head
tconstruct:pick_head:0, Demonic Pickaxe Head
tconstruct:pick_head:0, Molten Meat Pickaxe Head
tconstruct:pick_head:0, Vespa Carapace Pickaxe Head
tconstruct:pick_head:0, Scythe Claw Pickaxe Head
tconstruct:pick_head:0, Ectoplasm Pickaxe Head
tconstruct:pick_head:0, Ancient Metal Pickaxe Head
tconstruct:pick_head:0, Tar Pickaxe Head
tconstruct:pick_head:0, Prosperity Shard Pickaxe Head
tconstruct:pick_head:0, Soulium Pickaxe Head
tconstruct:pick_head:0, Base Essence Pickaxe Head
tconstruct:pick_head:0, Inferium Pickaxe Head
tconstruct:pick_head:0, Prudentium Pickaxe Head
tconstruct:pick_head:0, Intermedium Pickaxe Head
tconstruct:pick_head:0, Superium Pickaxe Head
tconstruct:pick_head:0, Supremium Pickaxe Head
tconstruct:pick_head:0, Boron Pickaxe Head
tconstruct:pick_head:0, Tough Alloy Pickaxe Head
tconstruct:pick_head:0, Hard Carbon Pickaxe Head
tconstruct:pick_head:0, Boron Nitride Pickaxe Head
tconstruct:pick_head:0, Thorium Pickaxe Head
tconstruct:pick_head:0, Uranium Pickaxe Head
tconstruct:pick_head:0, Magnesium Pickaxe Head
tconstruct:pick_head:0, Chocolate Pickaxe Head
tconstruct:pick_head:0, Plastic Pickaxe Head
tconstruct:pick_head:0, Pink Slime Pickaxe Head
tconstruct:pick_head:0, Reinforced Pink Slime Pickaxe Head
tconstruct:pick_head:0, Enderium Pickaxe Head
tconstruct:pick_head:0, Platinum Pickaxe Head
tconstruct:pick_head:0, Iridium Pickaxe Head
tconstruct:pick_head:0, Mithril Pickaxe Head
tconstruct:pick_head:0, Signalum Pickaxe Head
tconstruct:pick_head:0, Lumium Pickaxe Head
tconstruct:pick_head:0, Invar Pickaxe Head
tconstruct:pick_head:0, Nickel Pickaxe Head
tconstruct:pick_head:0, Tin Pickaxe Head
tconstruct:pick_head:0, Brass Pickaxe Head
tconstruct:pick_head:0, Aluminum Pickaxe Head
tconstruct:pick_head:0, Zinc Pickaxe Head
tconstruct:pick_head:0, Refined Obsidian Pickaxe Head
tconstruct:pick_head:0, Refined Glowstone Pickaxe Head
tconstruct:pick_head:0, Osmium Pickaxe Head
tconstruct:pick_head:0, Manasteel Pickaxe Head
tconstruct:pick_head:0, Terrasteel Pickaxe Head
tconstruct:pick_head:0, Elementium Pickaxe Head
tconstruct:pick_head:0, Gaia Spirit Pickaxe Head
tconstruct:pick_head:0, Yellorium Pickaxe Head
tconstruct:pick_head:0, Cyanite Pickaxe Head
tconstruct:pick_head:0, Blutonium Pickaxe Head
tconstruct:pick_head:0, Ludicrite Pickaxe Head
tconstruct:pick_head:0, Quartz Enriched Iron Pickaxe Head
tconstruct:pick_head:0, Draconium Pickaxe Head
tconstruct:pick_head:0, Wyvern Draconium Pickaxe Head
tconstruct:pick_head:0, Awakened Draconium Pickaxe Head
tconstruct:pick_head:0, Chaotic Draconium Pickaxe Head
tconstruct:pick_head:0, Psimetal Pickaxe Head
tconstruct:pick_head:0, Psigem Pickaxe Head
tconstruct:pick_head:0, Ivory Psimetal Pickaxe Head
tconstruct:pick_head:0, Ebony Psimetal Pickaxe Head
tconstruct:pick_head:0, Dark Matter Pickaxe Head
tconstruct:pick_head:0, Red Matter Pickaxe Head
tconstruct:pick_head:0, Fluxed Electrum Pickaxe Head
tconstruct:pick_head:0, Refined Iron Pickaxe Head
tconstruct:pick_head:0, Tungsten Pickaxe Head
tconstruct:pick_head:0, Titanium Pickaxe Head
tconstruct:pick_head:0, Chrome Pickaxe Head
tconstruct:pick_head:0, Advanced Alloy Pickaxe Head
tconstruct:pick_head:0, Ruby Pickaxe Head
tconstruct:pick_head:0, Sapphire Pickaxe Head
tconstruct:pick_head:0, Peridot Pickaxe Head
tconstruct:pick_head:0, Yellow Garnet Pickaxe Head
tconstruct:pick_head:0, Red Garnet Pickaxe Head
tconstruct:pick_head:0, Rubber Pickaxe Head
tconstruct:pick_head:0, Certus Quartz Pickaxe Head
tconstruct:pick_head:0, Fluix Crystal Pickaxe Head
tconstruct:pick_head:0, Alumite Pickaxe Head
tconstruct:pick_head:0, Malachite Pickaxe Head
tconstruct:pick_head:0, Amber Pickaxe Head
tconstruct:pick_head:0, Topaz Pickaxe Head
tconstruct:pick_head:0, Tanzanite Pickaxe Head
tconstruct:pick_head:0, Amethyst Pickaxe Head
tconstruct:pick_head:0, Osgloglas Pickaxe Head
tconstruct:pick_head:0, Osmiridium Pickaxe Head
tconstruct:pick_head:0, Lumium Pickaxe Head
tconstruct:pick_head:0, Signalum Pickaxe Head
tconstruct:pick_head:0, Platinum Pickaxe Head
tconstruct:pick_head:0, Enderium Pickaxe Head
tconstruct:pick_head:0, Black Quartz Pickaxe Head
tconstruct:pick_head:0, Void Pickaxe Head
tconstruct:pick_head:0, Enori Pickaxe Head
tconstruct:pick_head:0, Palis Pickaxe Head
tconstruct:pick_head:0, Restonia Pickaxe Head
tconstruct:pick_head:0, Emeradic Pickaxe Head
tconstruct:pick_head:0, Diamatine Pickaxe Head
tconstruct:pick_head:0, Certus Quartz Pickaxe Head
tconstruct:pick_head:0, Fluix Crystal Pickaxe Head
tconstruct:pick_head:0, Starmetal Pickaxe Head
tconstruct:pick_head:0, Tiberium Pickaxe Head
tconstruct:pick_head:0, Aurorium Pickaxe Head
tconstruct:pick_head:0, Prometheum Pickaxe Head
tconstruct:pick_head:0, Duranite Pickaxe Head
